Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
WaistYaw,-0.000270482605294581,0.00033223026377511,0.103533228623644,0,0,0,0.74379092396542,0.00378351314719932,-6.49148532580561E-06,-1.03315930764951E-05,0.00336292409412108,1.4214058788689E-05,0.00423285293962832,0,0,0,0,0,0,package://ludan_v0/meshes/WaistYaw.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://ludan_v0/meshes/WaistYaw.STL,,髋骨架V1.1-1;右腿V1.1-2/dm-j10010l-240726_1-5;左腿V1.1-2/dm-j10010l-240726_1-11,OWrist,WWrist,WaistYaw,revolute,-0.018263,-4.0012E-05,0.0442,3.1416,0,-1.5708,Body,0,0,-1,100,100,-3,3,,,,,,,,
RightHipPitch,-0.0320440300801776,-0.0294086007716143,0.124321410903361,0,0,0,0.282391256550772,0.00087907716234692,-3.55669497225502E-05,9.47002359946169E-05,0.000595418427749129,4.80026161592818E-05,0.000503452893683166,0,0,0,0,0,0,package://ludan_v0/meshes/RightHipPitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightHipPitch.STL,,右腿V1.1-2/零件3V1.2-1;右腿V1.1-2/dm-j10010l-240726_1-1,ORHipPitch,WRHipPitch,RightHipPitch,revolute,-4.00121566864059E-05,0,0.1252,-1.5707963267949,0,-1.5707963267949,WaistYaw,0,0,-1,100,100,-1.6,1.6,,,,,,,,
RightHipRoll,0.0705622116791458,-2.09256425925952E-06,-0.00419931497515779,0,0,0,0.522797477930784,0.000693518299912773,3.29398648194142E-08,7.61924305303984E-05,0.00089212853691857,-8.51674216357329E-08,0.00102830965799074,0,0,0,0,0,0,package://ludan_v0/meshes/RightHipRoll.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightHipRoll.STL,,右腿V1.1-2/改髋关节支架2V1.1-1;右腿V1.1-2/法兰转接V1.1-1,ORHipRoll,WRHipRoll,RightHipRoll,revolute,0.00820000000000069,-0.0350000000000001,0.152540012156687,-1.57079632679491,0,-1.57079632679491,RightHipPitch,0,0,-1,100,100,-0.35,1.6,,,,,,,,
RightHipYaw,0.00377169964257437,-0.0011150778879015,-0.265568302564995,0,0,0,3.0866086030039,0.0264398963605619,8.61004585375622E-05,0.00191872834507903,0.023554953286926,-0.000226060637978593,0.00660011170396239,0,0,0,0,0,0,package://ludan_v0/meshes/RightHipYaw.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightHipYaw.STL,,右腿V1.1-2/dm-j10010l-240726_1-2;右腿V1.1-2/大腿1V1.1-1;右腿V1.1-2/大腿2V1.1-1;右腿V1.1-2/dm-j10010l-240726_1-4;右腿V1.1-2/膝关节转轴（数量1件）-1;右腿V1.1-2/膝关节轴端挡片V1.1-1;右腿V1.1-2/膝关节曲柄V1.1-1;右腿V1.1-2/膝连杆_3D打印V1.1-1;右腿V1.1-2/左法兰V1.1-1,ORHipYaw,WRHipYaw,RightHipYaw,revolute,0,0,-0.00919999999999993,-1.57079632679491,0,1.5707963267949,RightHipRoll,0,0,-1,100,100,-3,3,,,,,,,,
RightKnee,-0.000244115099750079,-0.132318320694932,0.00110211533543508,0,0,0,1.79628746218042,0.0180565642762851,-0.0009055592418266,-2.30902040314087E-05,0.001480551251934,-0.000417586269697989,0.0190844708516855,0,0,0,0,0,0,package://ludan_v0/meshes/RightKnee.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightKnee.STL,,右腿V1.1-2/Mirror改小腿骨架V1.1-2;右腿V1.1-2/DM 6248 减速电机20250717_1-1;右腿V1.1-2/DM 6248 减速电机20250717_1-2;右腿V1.1-2/踝关节连接件2V1.1-1;右腿V1.1-2/踝关节连接件2V1.1-2,ORKnee,WRKnee,RightKnee,revolute,0,0.000587087047898643,-0.403000000000001,1.57079632679488,0,-1.57079632679489,RightHipYaw,0,0,-1,100,100,-0.17,1.6,,,,,,,,
RightAnklePitch,-0.0207677064692418,-2.77555756156289E-15,-4.86942708377569E-11,0,0,0,0.0497266892513697,2.18553773398794E-05,2.34664251321277E-21,-3.56102355554568E-14,1.81726648490368E-05,5.10887513733283E-14,3.81122142746635E-05,0,0,0,0,0,0,package://ludan_v0/meshes/RightAnklePitch.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightAnklePitch.STL,,右腿V1.1-2/脚掌连接件（数量1件）-1,ORAnklePitch,WRAnkleRoll,RightAnklePitch,revolute,-0.0215000000000051,-0.3328,-0.000934523809520638,0,0,1.5707963267949,RightKnee,0,1,0,100,100,-0.52,0.52,,,,,,,,
RightAnkleRoll,0.00014658031710521,-0.0162366105107852,0.00901586820093389,0,0,0,0.423784329189334,0.00143547782384892,-5.1049792153969E-08,-6.21899828428356E-06,0.00159807799310778,-8.4453907092175E-06,0.000250098936344727,0,0,0,0,0,0,package://ludan_v0/meshes/RightAnkleRoll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ludan_v0/meshes/RightAnkleRoll.STL,,右腿V1.1-2/镜像左脚掌V1.1-1;右腿V1.1-2/脚跟固定件（数量1件）-1;右腿V1.1-2/脚掌固定件（数量1件）-1,ORAnkleRoll,WRAnkleRoll,RightAnkleRoll,revolute,-0.0349999999999999,-0.0215000000000045,0,1.5707963267949,1.5707963267949,0,RightAnklePitch,0,0,-1,100,100,-0.09,0.09,,,,,,,,
LeftHipPitch,0.0320441137975664,-0.0297270997956851,0.124241422311115,0,0,0,0.282390658343301,0.000879076614032474,3.55575407345079E-05,-9.46998837296546E-05,0.00059541725943582,4.80257976213937E-05,0.000503451470472822,0,0,0,0,0,0,package://ludan_v0/meshes/LeftHipPitch.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/LeftHipPitch.STL,,左腿V1.1-2/Mirror零件3V1.2-2;左腿V1.1-2/dm-j10010l-240726_1-6,OLHipPitch,WLHipPitch,LeftHipPitch,revolute,-4.00121566865308E-05,0,0.1252,-1.57079632679489,0,1.5707963267949,WaistYaw,0,0,-1,100,100,-1.6,1.6,,,,,,,,
LeftHipRoll,0.0705622116791479,-2.09256425999504E-06,0.00400068502484173,0,0,0,0.522797477930781,0.000693518299912768,3.29398648159847E-08,7.61924305304008E-05,0.000892590705838784,-4.05008006868648E-08,0.00102784748907052,0,0,0,0,0,0,package://ludan_v0/meshes/LeftHipRoll.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://ludan_v0/meshes/LeftHipRoll.STL,,左腿V1.1-2/改髋关节支架2V1.1-1;左腿V1.1-2/法兰转接V1.1-2,OLHipRoll,WLHipRoll,LeftHipRoll,revolute,0,-0.0349999999999995,0.152459987843314,1.57079632679491,0,-1.5707963267949,LeftHipPitch,0,0,-1,100,100,-1.6,0.35,,,,,,,,
LeftHipYaw,0.00504725270234465,-0.000241328749118686,-0.265471047894519,0,0,0,2.93523693319794,0.0259698023353013,-8.73716411862931E-05,0.00191874250827129,0.0230790629756764,0.000222609455166064,0.00659622405325168,0,0,0,0,0,0,package://ludan_v0/meshes/LeftHipYaw.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ludan_v0/meshes/LeftHipYaw.STL,,左腿V1.1-2/膝关节曲柄V1.1-1;左腿V1.1-2/Mirror大腿1V1.1-2;左腿V1.1-2/dm-j10010l-240726_1-7;左腿V1.1-2/膝关节轴端挡片V1.1-2;左腿V1.1-2/膝关节转轴（数量1件）-2;左腿V1.1-2/Mirror大腿2V1.1-2;左腿V1.1-2/dm-j10010l-240726_1-10;左腿V1.1-2/右法兰V1.1-1,OLHipYaw,WLHipYaw,LeftHipYaw,revolute,0,0,-0.00100000000000052,1.57079632679489,0,-1.5707963267949,LeftHipRoll,0,0,-1,100,100,-3,3,,,,,,,,
LeftKnee,0.00112894378272854,-0.132370510233735,0.00110211536423568,0,0,0,1.7962874358265,0.0180565232954021,0.000906060689577554,2.30573397229348E-05,0.00148059223413416,-0.000417693298931351,0.0190844708529551,0,0,0,0,0,0,package://ludan_v0/meshes/LeftKnee.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/LeftKnee.STL,,左腿V1.1-2/MirrorMirror改小腿骨架V1.1-3;左腿V1.1-2/MirrorDM 6248 减速电机20250717_1-4;左腿V1.1-2/踝关节连接件2V1.1-1;左腿V1.1-2/DM 6248 减速电机20250717_1-3;左腿V1.1-2/踝关节连接件2V1.1-2,OLKnee,WLKnee,LeftKnee,revolute,0,0,-0.4045,1.5707963267949,0,-1.5707963267949,LeftHipYaw,0,0,1,100,100,-0.17,1.6,,,,,,,,
LeftAnklePitch,0.00976770646924141,-0.0539999999999995,-4.8702639143805E-11,0,0,0,0.0497266892513695,2.18553773398793E-05,-3.82648793620849E-21,3.56100715363005E-14,1.81726648490368E-05,-5.10887784806053E-14,3.81122142746634E-05,0,0,0,0,0,0,package://ludan_v0/meshes/LeftAnklePitch.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/LeftAnklePitch.STL,,左腿V1.1-2/脚掌连接件（数量1件）-2,OLAnklePitch,WLAnklePitch,LeftAnklePitch,revolute,-0.0319129129520989,-0.343800000000001,-0.000934523809521935,-3.14159265358978,0,-1.5707963267949,LeftKnee,0,0,1,100,100,-0.52,0.52,,,,,,,,
LeftAnkleRoll,0.0162366568296413,-0.000146673422036163,0.00901673637033555,0,0,0,0.423786947962651,0.00159810318894566,-5.15811084486362E-08,8.44591721217415E-06,0.00143550361198925,6.21036776560053E-06,0.000250098423979248,0,0,0,0,0,0,package://ludan_v0/meshes/LeftAnkleRoll.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/LeftAnkleRoll.STL,,左腿V1.1-2/脚掌固定件（数量1件）-2;左腿V1.1-2/脚跟固定件（数量1件）-2;左腿V1.1-2/Mirror镜像左脚掌V1.1-2,OLAnkleRoll,WLAnkleRoll,LeftAnkleRoll,revolute,0.0239999999999991,-0.0325000000000003,0,-1.5707963267949,0,0,LeftAnklePitch,0,0,-1,100,100,-0.09,0.09,,,,,,,,
NeckYaw,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,package://ludan_v0/meshes/NeckYaw.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/NeckYaw.STL,,14.36-3/脖子壳4-1;14.36-3/1-2连接固定-1;14.36-3/dm_4340__3d20240822_1(2)(1)-2;14.36-3/电机2传动-1;14.36-3/电机2传动 - 副本 (2)-1,ONeckYaw,WNeckYaw,NeckYaw,revolute,-0.032263,9.7233E-05,0.31235,0,0,0,Body,0,0,-1,100,100,-3,3,,,,,,,,
NeckRoll,0.00138285731553466,4.55816445487367E-05,-0.020324594146138,0,0,0,0.154027503183816,7.40519583259337E-05,-2.47240128380056E-07,-2.00344775020786E-06,8.4661615870976E-05,-8.74121067857036E-08,7.10766974653839E-05,0,0,0,0,0,0,package://ludan_v0/meshes/NeckRoll.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/NeckRoll.STL,,14.36-3/dm_4340__3d20240822_1(2)(1)-1;14.36-3/电机3固定件 - 副本-1,ONeckRoll,WNeckRoll,NeckRoll,revolute,0,0,0.1852,1.5707963267949,0,-1.5707963267949,NeckYaw,0,0,1,100,100,-0.7,0.7,,,,,,,,
NeckPitch,0.109878013519724,-0.00621138750744678,0.0020453330844377,0,0,0,0.165906211949539,5.57930875172184E-05,-3.64059085553665E-05,2.57325485558246E-05,0.000325444109936595,-4.85761480779336E-06,0.000323216622622941,0,0,0,0,0,0,package://ludan_v0/meshes/NeckPitch.STL,1,1,1,1,0,0,0,0,0,0,package://ludan_v0/meshes/NeckPitch.STL,,14.36-3/头连接板 - 副本-1;14.36-3/head_smooth_resize_1mm-1,ONeckPitch,WNeckPitch,NeckPitch,revolute,0,0,-0.0246999999999825,1.57079632679467,0,1.59456305937524,NeckRoll,0,0,-1,100,100,-0.52,0.52,,,,,,,,
